palavras,tamanho_frase,verbos_irregulares,vocabulario_basico,out_iniciante,out_intermediario,out_avancado
622,20.733333333333334,17,279,0,1,0
635,23.51851851851852,40,338,0,1,0
333,19.58823529411765,13,161,0,1,0
888,22.2,52,474,0,1,0
978,19.959183673469386,58,508,0,1,0
798,17.347826086956523,38,434,0,1,0
281,18.733333333333334,10,114,0,1,0
1215,24.3,80,671,0,1,0
986,18.60377358490566,55,558,0,1,0
210,23.333333333333332,7,86,0,1,0
192,16.0,9,81,0,1,0
297,19.8,12,163,0,1,0
343,18.05263157894737,17,169,0,1,0
300,15.0,14,136,0,1,0
519,16.21875,17,298,0,1,0
644,21.466666666666665,46,340,0,1,0
286,17.875,12,130,0,1,0
999,17.526315789473685,66,555,0,1,0
302,21.571428571428573,12,152,0,1,0
991,15.015151515151516,56,558,0,1,0
374,24.933333333333334,6,161,0,1,0
1106,13.654320987654321,51,538,0,1,0
279,17.4375,8,121,0,1,0
474,21.545454545454547,22,259,0,1,0
603,18.272727272727273,30,276,0,1,0
507,26.68421052631579,17,222,0,1,0
296,12.333333333333334,19,148,0,1,0
574,22.96,47,355,0,1,0
821,18.65909090909091,34,390,0,1,0
313,15.65,13,155,0,1,0
286,16.823529411764707,9,164,0,1,0
1137,23.20408163265306,53,553,0,1,0
332,19.529411764705884,10,189,0,1,0
823,21.657894736842106,48,440,0,1,0
183,13.071428571428571,8,90,0,1,0
612,20.4,41,301,0,1,0
778,17.288888888888888,52,409,0,1,0
326,19.176470588235293,7,164,0,1,0
1392,30.26086956521739,33,540,0,1,0
325,14.772727272727273,16,155,0,1,0
705,22.03125,34,362,0,1,0
964,22.952380952380953,33,485,0,1,0
1024,19.692307692307693,51,478,0,1,0
297,14.85,11,136,0,1,0
307,20.466666666666665,6,149,0,1,0
170,17.0,9,102,0,1,0
329,16.45,13,172,0,1,0
213,17.75,8,112,0,1,0
296,10.962962962962964,17,167,0,1,0
756,17.181818181818183,33,428,0,1,0
638,18.764705882352942,32,306,0,1,0
288,16.0,7,133,0,1,0
305,15.25,18,158,0,1,0
270,19.285714285714285,16,147,0,1,0
679,17.86842105263158,47,365,0,1,0
765,22.5,46,386,0,1,0
844,21.1,45,423,0,1,0
254,19.53846153846154,7,125,0,1,0
301,17.705882352941178,6,139,0,1,0
319,15.95,11,165,0,1,0
310,10.689655172413794,21,146,0,1,0
257,12.238095238095237,12,123,0,1,0
720,19.45945945945946,54,336,0,1,0
267,19.071428571428573,7,87,0,1,0
303,14.428571428571429,23,161,0,1,0
510,18.214285714285715,39,257,0,1,0
876,16.22222222222222,61,416,0,1,0
990,17.06896551724138,69,509,0,1,0
283,14.15,17,150,0,1,0
304,16.88888888888889,11,159,0,1,0
182,22.75,9,82,0,1,0
630,17.5,38,341,0,1,0
336,14.608695652173912,13,161,0,1,0
306,18.0,5,143,0,1,0
285,17.8125,9,118,0,1,0
523,18.678571428571427,27,309,0,1,0
573,23.875,32,327,0,1,0
298,16.555555555555557,11,160,0,1,0
945,22.5,52,555,0,1,0
459,21.857142857142858,12,201,0,1,0
311,15.55,13,149,0,1,0
476,19.833333333333332,37,222,0,1,0
318,13.826086956521738,13,140,0,1,0
284,18.933333333333334,19,143,0,1,0
478,26.555555555555557,22,204,0,1,0
313,17.38888888888889,12,139,0,1,0
167,4.513513513513513,13,99,0,1,0
848,22.31578947368421,35,483,0,1,0
307,13.954545454545455,11,152,0,1,0
886,14.290322580645162,60,449,0,1,0
310,18.235294117647058,10,132,0,1,0
914,19.869565217391305,55,498,0,1,0
947,24.92105263157895,53,516,0,1,0
361,19.0,15,180,0,1,0
959,16.82456140350877,36,488,0,1,0
318,13.826086956521738,12,159,0,1,0
282,18.8,13,141,0,1,0
338,26.0,14,167,0,1,0
917,20.377777777777776,61,455,0,1,0
1175,20.25862068965517,74,569,0,1,0
317,15.85,12,150,0,1,0
318,18.705882352941178,9,150,0,1,0
301,18.8125,7,126,0,1,0
509,19.576923076923077,31,218,0,1,0
270,15.882352941176471,17,142,0,1,0
292,15.368421052631579,10,145,0,1,0
493,18.96153846153846,32,290,0,1,0
1013,17.16949152542373,89,552,0,1,0
511,16.483870967741936,39,255,0,1,0
183,22.875,6,79,0,1,0
321,17.833333333333332,11,168,0,1,0
275,17.1875,18,126,0,1,0
700,22.580645161290324,28,381,0,1,0
333,23.785714285714285,20,182,0,1,0
976,21.68888888888889,52,558,0,1,0
335,19.705882352941178,9,171,0,1,0
640,18.823529411764707,28,356,0,1,0
292,16.22222222222222,12,139,0,1,0
299,13.590909090909092,18,156,0,1,0
238,21.636363636363637,10,130,0,1,0
445,17.115384615384617,27,222,0,1,0
294,21.0,11,155,0,1,0
434,18.083333333333332,14,227,0,1,0
290,15.263157894736842,11,151,0,1,0
546,20.22222222222222,38,278,0,1,0
239,17.071428571428573,8,108,0,1,0
295,18.4375,2,138,0,1,0
240,18.46153846153846,16,142,0,1,0
462,18.48,13,209,0,1,0
1193,22.942307692307693,64,571,0,1,0
371,18.55,23,205,0,1,0
597,21.321428571428573,25,275,0,1,0
281,16.529411764705884,11,138,0,1,0
963,17.833333333333332,40,468,0,1,0
434,18.083333333333332,11,201,0,1,0
680,20.0,39,366,0,1,0
318,16.736842105263158,16,142,0,1,0
738,19.945945945945947,55,369,0,1,0
1046,19.735849056603772,52,545,0,1,0
301,15.842105263157896,16,152,0,1,0
584,19.466666666666665,31,298,0,1,0
612,19.125,34,341,0,1,0
1177,21.796296296296298,64,579,0,1,0
327,18.166666666666668,12,170,0,1,0
389,19.45,27,202,0,1,0
208,14.857142857142858,13,115,0,1,0
479,23.95,13,227,0,1,0
306,17.0,17,141,0,1,0
264,15.529411764705882,8,126,0,1,0
982,19.254901960784313,49,536,0,1,0
295,14.75,28,179,0,1,0
887,19.282608695652176,54,491,0,1,0
851,21.275,43,401,0,1,0
1065,20.48076923076923,65,624,0,1,0
303,15.15,16,146,0,1,0
338,24.142857142857142,24,199,0,1,0
300,18.75,12,151,0,1,0
911,17.862745098039216,35,473,0,1,0
880,20.0,31,464,0,1,0
877,20.88095238095238,55,521,0,1,0
201,13.4,26,129,1,0,0
327,13.08,29,214,1,0,0
222,13.058823529411764,11,94,1,0,0
300,8.333333333333334,20,151,1,0,0
125,6.578947368421052,14,56,1,0,0
353,11.387096774193548,31,210,1,0,0
84,6.461538461538462,6,51,1,0,0
111,6.529411764705882,8,63,1,0,0
94,5.875,6,46,1,0,0
305,10.892857142857142,18,186,1,0,0
279,11.16,27,144,1,0,0
261,21.75,9,73,1,0,0
389,14.961538461538462,43,245,1,0,0
317,8.128205128205128,24,154,1,0,0
351,15.26086956521739,37,210,1,0,0
102,14.571428571428571,5,53,1,0,0
299,14.238095238095237,22,171,1,0,0
317,13.782608695652174,27,186,1,0,0
78,7.090909090909091,7,54,1,0,0
313,12.52,36,171,1,0,0
114,6.705882352941177,9,60,1,0,0
318,11.777777777777779,42,176,1,0,0
123,6.473684210526316,11,68,1,0,0
123,6.473684210526316,9,62,1,0,0
413,12.515151515151516,48,241,1,0,0
195,8.478260869565217,17,123,1,0,0
304,13.217391304347826,14,170,1,0,0
105,6.5625,7,74,1,0,0
116,6.823529411764706,11,70,1,0,0
114,5.428571428571429,3,71,1,0,0
127,5.521739130434782,12,59,1,0,0
107,6.6875,6,72,1,0,0
125,5.9523809523809526,10,69,1,0,0
338,13.52,34,206,1,0,0
107,7.642857142857143,13,67,1,0,0
95,5.277777777777778,6,61,1,0,0
300,11.538461538461538,23,177,1,0,0
126,7.411764705882353,8,73,1,0,0
102,6.8,5,68,1,0,0
112,7.466666666666667,8,79,1,0,0
330,11.785714285714286,24,186,1,0,0
163,16.3,7,86,1,0,0
311,15.55,25,189,1,0,0
104,7.428571428571429,12,50,1,0,0
89,5.933333333333334,3,59,1,0,0
336,14.608695652173912,33,195,1,0,0
322,11.925925925925926,20,175,1,0,0
349,13.423076923076923,40,191,1,0,0
289,17.0,28,173,1,0,0
101,5.611111111111111,18,55,1,0,0
298,12.416666666666666,23,168,1,0,0
125,5.681818181818182,16,59,1,0,0
345,15.0,43,211,1,0,0
309,12.875,30,173,1,0,0
334,11.928571428571429,26,197,1,0,0
106,6.625,5,66,1,0,0
111,6.529411764705882,6,58,1,0,0
108,7.714285714285714,11,71,1,0,0
296,11.384615384615385,13,157,1,0,0
107,7.133333333333334,4,57,1,0,0
133,10.23076923076923,13,98,1,0,0
125,6.25,5,76,1,0,0
315,10.862068965517242,23,174,1,0,0
319,11.392857142857142,23,170,1,0,0
117,8.357142857142858,8,70,1,0,0
316,12.153846153846153,31,176,1,0,0
165,12.692307692307692,11,93,1,0,0
155,7.380952380952381,14,73,1,0,0
321,12.84,18,192,1,0,0
87,6.214285714285714,5,63,1,0,0
91,6.066666666666666,10,66,1,0,0
124,6.888888888888889,11,75,1,0,0
332,12.296296296296296,27,165,1,0,0
293,12.73913043478261,26,162,1,0,0
332,13.28,34,187,1,0,0
177,25.285714285714285,5,79,1,0,0
358,13.76923076923077,32,221,1,0,0
304,10.857142857142858,20,157,1,0,0
109,7.266666666666667,4,62,1,0,0
301,11.148148148148149,17,159,1,0,0
301,10.379310344827585,28,167,1,0,0
316,12.64,18,180,1,0,0
98,6.533333333333333,14,47,1,0,0
317,15.095238095238095,37,185,1,0,0
126,6.0,9,63,1,0,0
86,6.142857142857143,6,47,1,0,0
135,6.136363636363637,10,83,1,0,0
337,12.961538461538462,34,213,1,0,0
117,6.5,14,72,1,0,0
344,13.23076923076923,32,208,1,0,0
98,7.0,11,65,1,0,0
349,10.264705882352942,22,220,1,0,0
323,10.419354838709678,25,197,1,0,0
392,14.518518518518519,29,236,1,0,0
100,6.25,7,56,1,0,0
110,7.333333333333333,10,50,1,0,0
318,12.23076923076923,21,175,1,0,0
180,16.363636363636363,7,85,1,0,0
316,11.703703703703704,22,191,1,0,0
127,4.884615384615385,17,63,1,0,0
388,15.52,39,207,1,0,0
304,12.16,23,163,1,0,0
306,12.24,18,157,1,0,0
365,11.40625,36,230,1,0,0
272,10.88,26,140,1,0,0
99,5.823529411764706,4,54,1,0,0
126,6.3,15,70,1,0,0
308,14.666666666666666,16,161,1,0,0
87,6.214285714285714,5,55,1,0,0
298,11.92,35,175,1,0,0
1238,12.38,81,655,1,0,0
329,11.344827586206897,31,219,1,0,0
303,11.222222222222221,29,173,1,0,0
414,10.894736842105264,40,225,1,0,0
304,13.818181818181818,26,198,1,0,0
356,13.692307692307692,39,199,1,0,0
255,9.107142857142858,23,125,1,0,0
126,6.0,5,62,1,0,0
317,12.68,30,184,1,0,0
114,8.76923076923077,7,77,1,0,0
343,9.026315789473685,32,181,1,0,0
95,5.9375,6,54,1,0,0
303,12.625,31,169,1,0,0
123,6.473684210526316,9,75,1,0,0
329,11.75,21,176,1,0,0
358,12.344827586206897,21,203,1,0,0
368,12.266666666666667,23,219,1,0,0
333,12.807692307692308,32,193,1,0,0
98,7.0,10,55,1,0,0
130,8.125,11,79,1,0,0
249,11.318181818181818,20,138,1,0,0
295,11.8,20,169,1,0,0
279,12.130434782608695,26,152,1,0,0
325,14.130434782608695,25,195,1,0,0
319,14.5,26,183,1,0,0
115,14.375,6,52,1,0,0
313,12.038461538461538,16,164,1,0,0
321,13.956521739130435,21,178,1,0,0
117,6.5,14,66,1,0,0
104,8.666666666666666,8,65,1,0,0
99,8.25,10,66,1,0,0
306,12.75,17,161,1,0,0
306,12.24,16,173,1,0,0
104,5.777777777777778,4,58,1,0,0
104,5.777777777777778,16,61,1,0,0
75,5.769230769230769,6,47,1,0,0
339,14.125,33,205,1,0,0
324,11.571428571428571,30,180,1,0,0
307,10.586206896551724,26,158,1,0,0
182,15.166666666666666,13,112,1,0,0
311,11.518518518518519,22,173,1,0,0
99,5.823529411764706,8,64,1,0,0
117,7.8,11,80,1,0,0
149,13.545454545454545,5,84,1,0,0
133,5.32,17,78,1,0,0
108,7.2,11,60,1,0,0
102,7.285714285714286,9,59,1,0,0
311,10.03225806451613,21,178,1,0,0
106,6.235294117647059,15,58,1,0,0
334,12.37037037037037,30,187,1,0,0
104,7.428571428571429,8,67,1,0,0
105,8.75,10,46,1,0,0
354,12.206896551724139,35,196,1,0,0
336,13.44,37,209,1,0,0
112,6.222222222222222,16,61,1,0,0
104,6.5,11,70,1,0,0
113,8.071428571428571,12,75,1,0,0
129,4.607142857142857,16,80,1,0,0
303,16.833333333333332,24,169,1,0,0
127,8.466666666666667,13,72,1,0,0
308,14.0,38,200,1,0,0
321,11.464285714285714,25,173,1,0,0
104,6.117647058823529,11,67,1,0,0
248,11.80952380952381,18,136,1,0,0
315,11.25,25,178,1,0,0
88,6.769230769230769,6,63,1,0,0
149,7.45,14,83,1,0,0
87,5.4375,7,58,1,0,0
299,10.678571428571429,29,162,1,0,0
325,13.0,25,196,1,0,0
335,12.884615384615385,26,211,1,0,0
343,9.8,39,192,1,0,0
316,13.166666666666666,23,184,1,0,0
121,7.117647058823529,4,73,1,0,0
126,9.0,9,70,1,0,0
324,12.0,26,170,1,0,0
82,4.823529411764706,6,48,1,0,0
125,6.578947368421052,6,69,1,0,0
318,10.96551724137931,24,176,1,0,0
291,11.64,43,161,1,0,0
330,13.75,31,201,1,0,0
318,12.72,29,192,1,0,0
332,11.066666666666666,23,184,1,0,0
301,13.681818181818182,22,172,1,0,0
123,7.235294117647059,9,66,1,0,0
125,5.681818181818182,3,58,1,0,0
299,11.074074074074074,34,164,1,0,0
326,13.583333333333334,23,195,1,0,0
80,5.0,7,52,1,0,0
328,13.12,43,201,1,0,0
309,12.36,23,181,1,0,0
294,9.1875,7,156,1,0,0
94,5.875,8,68,1,0,0
358,10.848484848484848,41,217,1,0,0
117,6.882352941176471,7,77,1,0,0
318,12.72,35,186,1,0,0
381,11.545454545454545,39,220,1,0,0
311,13.521739130434783,21,179,1,0,0
335,13.958333333333334,19,188,1,0,0
188,11.75,8,108,1,0,0
318,11.357142857142858,15,179,1,0,0
335,15.227272727272727,20,200,1,0,0
343,12.703703703703704,24,192,1,0,0
315,10.5,27,170,1,0,0
324,13.5,29,196,1,0,0
294,12.782608695652174,22,169,1,0,0
303,10.821428571428571,30,160,1,0,0
338,9.941176470588236,36,193,1,0,0
313,9.484848484848484,22,175,1,0,0
340,11.724137931034482,27,207,1,0,0
360,12.857142857142858,34,228,1,0,0
110,8.461538461538462,11,65,1,0,0
305,11.73076923076923,34,156,1,0,0
92,5.111111111111111,6,51,1,0,0
378,14.538461538461538,37,225,1,0,0
92,7.666666666666667,7,61,1,0,0
97,7.461538461538462,2,48,1,0,0
103,6.4375,6,55,1,0,0
116,7.25,8,80,1,0,0
107,7.642857142857143,8,65,1,0,0
338,13.0,42,203,1,0,0
292,12.695652173913043,27,145,1,0,0
333,11.1,38,182,1,0,0
323,11.962962962962964,38,189,1,0,0
131,7.277777777777778,9,86,1,0,0
129,7.166666666666667,16,76,1,0,0
122,5.809523809523809,13,68,1,0,0
225,16.071428571428573,4,112,1,0,0
307,12.791666666666666,24,174,1,0,0
305,12.708333333333334,30,166,1,0,0
332,12.296296296296296,22,190,1,0,0
333,10.741935483870968,39,201,1,0,0
128,6.4,12,65,1,0,0
310,9.117647058823529,37,164,1,0,0
324,8.756756756756756,16,182,1,0,0
310,12.4,26,184,1,0,0
389,11.114285714285714,36,237,1,0,0
179,9.944444444444445,15,102,1,0,0
343,10.71875,24,206,1,0,0
70,6.363636363636363,4,45,1,0,0
314,12.076923076923077,26,174,1,0,0
99,7.071428571428571,9,61,1,0,0
107,7.133333333333334,7,59,1,0,0
294,11.307692307692308,18,155,1,0,0
107,8.916666666666666,10,62,1,0,0
197,14.071428571428571,8,110,1,0,0
189,9.947368421052632,20,91,1,0,0
92,6.133333333333334,6,52,1,0,0
110,5.0,16,56,1,0,0
304,12.16,21,184,1,0,0
325,14.772727272727273,22,199,1,0,0
313,12.038461538461538,24,184,1,0,0
321,10.7,26,174,1,0,0
177,14.75,5,87,1,0,0
106,6.625,10,43,1,0,0
306,12.75,25,174,1,0,0
216,12.705882352941176,12,119,1,0,0
182,15.166666666666666,6,104,1,0,0
310,13.478260869565217,18,199,1,0,0
208,14.857142857142858,11,111,1,0,0
114,6.0,5,63,1,0,0
277,12.043478260869565,26,154,1,0,0
524,24.952380952380953,24,236,0,0,1
860,22.63157894736842,40,388,0,0,1
1370,21.40625,63,677,0,0,1
1528,25.049180327868854,63,826,0,0,1
925,21.022727272727273,30,489,0,0,1
486,32.4,30,289,0,0,1
857,27.64516129032258,42,414,0,0,1
1272,23.555555555555557,54,560,0,0,1
749,22.029411764705884,25,360,0,0,1
255,23.181818181818183,10,131,0,0,1
649,24.037037037037038,42,337,0,0,1
228,17.53846153846154,4,86,0,0,1
1264,26.333333333333332,70,567,0,0,1
319,17.72222222222222,6,176,0,0,1
595,19.833333333333332,30,297,0,0,1
630,21.0,20,260,0,0,1
935,21.74418604651163,41,455,0,0,1
301,23.153846153846153,12,133,0,0,1
1178,20.666666666666668,56,519,0,0,1
571,22.84,20,281,0,0,1
982,22.318181818181817,73,533,0,0,1
993,20.6875,44,456,0,0,1
380,34.54545454545455,7,176,0,0,1
763,24.612903225806452,38,334,0,0,1
720,21.818181818181817,44,359,0,0,1
497,23.666666666666668,20,224,0,0,1
299,18.6875,21,157,0,0,1
978,23.853658536585368,70,519,0,0,1
332,15.80952380952381,11,170,0,0,1
629,29.952380952380953,40,312,0,0,1
567,21.807692307692307,29,274,0,0,1
430,28.666666666666668,17,233,0,0,1
944,17.81132075471698,50,488,0,0,1
967,17.267857142857142,31,437,0,0,1
371,24.733333333333334,25,179,0,0,1
928,23.794871794871796,47,482,0,0,1
261,23.727272727272727,15,112,0,0,1
1013,21.5531914893617,38,473,0,0,1
979,21.282608695652176,48,455,0,0,1
625,23.14814814814815,25,279,0,0,1
1007,21.891304347826086,46,497,0,0,1
517,27.210526315789473,19,260,0,0,1
388,19.4,14,175,0,0,1
302,18.875,17,130,0,0,1
906,21.069767441860463,28,398,0,0,1
606,26.347826086956523,28,268,0,0,1
1020,20.4,58,548,0,0,1
755,30.2,18,356,0,0,1
312,24.0,17,145,0,0,1
1211,20.879310344827587,40,535,0,0,1
766,22.529411764705884,32,360,0,0,1
283,21.76923076923077,9,123,0,0,1
401,22.27777777777778,18,190,0,0,1
977,18.78846153846154,35,470,0,0,1
612,19.125,29,257,0,0,1
924,19.659574468085108,51,511,0,0,1
638,18.764705882352942,26,293,0,0,1
487,20.291666666666668,11,264,0,0,1
522,21.75,11,249,0,0,1
291,20.785714285714285,7,127,0,0,1
505,20.2,20,203,0,0,1
993,26.13157894736842,75,550,0,0,1
748,18.7,15,384,0,0,1
853,21.871794871794872,45,408,0,0,1
1675,26.171875,110,796,0,0,1
757,20.45945945945946,18,382,0,0,1
774,19.35,33,419,0,0,1
565,18.225806451612904,21,268,0,0,1
537,19.178571428571427,22,217,0,0,1
660,22.0,35,304,0,0,1
687,24.535714285714285,36,327,0,0,1
740,22.424242424242426,41,351,0,0,1
815,19.878048780487806,34,348,0,0,1
1030,19.074074074074073,40,514,0,0,1
867,22.81578947368421,38,446,0,0,1
175,19.444444444444443,6,75,0,0,1
313,19.5625,16,156,0,0,1
223,27.875,9,101,0,0,1
607,30.35,29,290,0,0,1
1057,22.97826086956522,48,499,0,0,1
1358,21.21875,68,666,0,0,1
1417,20.242857142857144,74,653,0,0,1
870,17.4,35,415,0,0,1
793,22.65714285714286,36,373,0,0,1
612,23.53846153846154,31,289,0,0,1
942,22.975609756097562,59,481,0,0,1
836,20.390243902439025,27,392,0,0,1
971,20.229166666666668,64,466,0,0,1
780,20.526315789473685,40,396,0,0,1
1000,22.22222222222222,59,495,0,0,1
766,20.7027027027027,44,338,0,0,1
630,24.23076923076923,33,326,0,0,1
319,21.266666666666666,19,146,0,0,1
632,24.307692307692307,14,250,0,0,1
898,27.21212121212121,34,437,0,0,1
491,22.318181818181817,14,208,0,0,1
732,22.875,25,414,0,0,1
525,20.192307692307693,19,229,0,0,1
419,13.09375,14,210,0,0,1
777,24.28125,54,406,0,0,1
862,22.68421052631579,45,436,0,0,1
588,20.275862068965516,30,282,0,0,1
660,22.0,20,300,0,0,1
377,26.928571428571427,15,190,0,0,1
508,26.736842105263158,24,218,0,0,1
911,23.973684210526315,53,582,0,0,1
396,20.842105263157894,24,204,0,0,1
361,32.81818181818182,17,174,0,0,1
637,23.59259259259259,33,311,0,0,1
644,22.20689655172414,37,317,0,0,1
856,26.75,36,418,0,0,1
1058,22.51063829787234,36,486,0,0,1
661,25.423076923076923,38,304,0,0,1
336,14.0,8,156,0,0,1
1265,22.589285714285715,60,560,0,0,1
517,21.541666666666668,27,233,0,0,1
343,19.055555555555557,17,186,0,0,1
291,18.1875,11,133,0,0,1
451,23.736842105263158,14,215,0,0,1
983,25.86842105263158,72,493,0,0,1
923,21.46511627906977,53,494,0,0,1
800,21.05263157894737,46,422,0,0,1
1068,20.941176470588236,61,483,0,0,1
304,17.88235294117647,7,146,0,0,1
290,24.166666666666668,7,122,0,0,1
895,23.55263157894737,47,399,0,0,1
440,22.0,17,216,0,0,1
564,19.448275862068964,30,290,0,0,1
291,26.454545454545453,10,132,0,0,1
404,14.962962962962964,12,192,0,0,1
268,22.333333333333332,7,114,0,0,1
311,15.55,22,181,0,0,1
1029,18.70909090909091,41,440,0,0,1
598,27.181818181818183,28,287,0,0,1
720,23.225806451612904,28,350,0,0,1
1075,22.872340425531913,71,591,0,0,1
891,22.275,58,498,0,0,1
303,17.823529411764707,11,154,0,0,1
278,19.857142857142858,13,155,0,0,1
956,25.83783783783784,40,478,0,0,1
250,20.833333333333332,5,115,0,0,1
1170,22.5,45,567,0,0,1
819,30.333333333333332,28,397,0,0,1
792,22.0,30,432,0,0,1
662,30.09090909090909,26,312,0,0,1
859,22.025641025641026,38,471,0,0,1
732,27.11111111111111,30,410,0,0,1
700,15.555555555555555,33,343,0,0,1
258,12.9,28,169,0,0,1
470,22.38095238095238,16,238,0,0,1
426,25.058823529411764,16,167,0,0,1
1034,18.8,46,512,0,0,1
971,24.897435897435898,42,520,0,0,1
1319,21.62295081967213,95,668,0,0,1
853,21.871794871794872,44,459,0,0,1
349,23.266666666666666,15,166,0,0,1
153,17.0,5,89,0,0,1
787,24.59375,45,417,0,0,1
581,20.75,18,250,0,0,1
458,24.105263157894736,28,240,0,0,1
792,20.842105263157894,24,397,0,0,1
995,26.18421052631579,54,488,0,0,1
1324,21.704918032786885,64,616,0,0,1
874,21.85,37,400,0,0,1
751,22.08823529411765,43,404,0,0,1
317,17.61111111111111,20,140,0,0,1
1051,20.607843137254903,66,523,0,0,1
274,16.11764705882353,8,130,0,0,1
251,19.307692307692307,6,109,0,0,1
528,16.5,16,267,0,0,1
1052,21.916666666666668,46,508,0,0,1
601,25.041666666666668,27,285,0,0,1
799,22.82857142857143,28,360,0,0,1
503,21.869565217391305,26,234,0,0,1
563,23.458333333333332,24,243,0,0,1
665,31.666666666666668,24,359,0,0,1
